UCAC0000	E		8	0	1	UCAH0000	R		
UCAC0000	E		16	8		UCAH0001	R		
UCAC0001	E		8	0	1	UCAH0002	R		
UCAC0001	E		16	8		UCAH0003	R		
UCAC0002	E		16	0		UCAH0004	R		
UCAC0002	E		32	16		UCAH0005	R		
UCAC0002	E		8	48	1	UCAH0006	R		
UCAC0002	E		32	56		UCAH0007	R		
UCAC0003	E		8	0	1	UCAH0008	R		
UCAC0003	E		16	8		UCAH0009	R		
UCAC0004	E		8	0	1	UCAH0010	R		
UCAC0004	E		16	8		UCAH0011	R		
UCAC0005	E		8	0	2	UCAH0012	R		
UCAC0005	E		16	8		UCAH0013	R		
UCAC0005	E		32	24		UCAH0014	R		
UCAC0006	E		8	0	1	UCAH0015	R		
UCAC0006	E		16	8		UCAH0016	R		
UCAC0007	E		8	0	1	UCAH0017	R		
UCAC0007	E		16	8		UCAH0018	R		
UCAC0008	E		8	0	1	UCAH0019	R		
UCAC0008	E		16	8		UCAH0020	R		
UCAC0009	E		8	0	1	UCAH0021	R		
UCAC0009	E		16	8		UCAH0022	R		
UCAC0011	E		8	0		UCAH0023	R		
UCAC0011	E		8	8	3	UCAH0024	R		
UCAC0011	E		32	16		UCAH0025	R		
UCAC0011	E		16	48	1	UCAH0026	R		
UCAC0011	E		8	64		UCAH0027	R		
UCAC0012	E		8	0		UCAH0028	R		
UCAC0012	E		32	8		UCAH0029	R		
UCAC0012	E		32	40		UCAH0030	R		
UCAC0012	E		32	72		UCAH0031	R		
UCAC0013	E		8	0		UCAH0032	R		
UCAC0013	E		8	8	2	UCAH0033	R		
UCAC0013	E		32	16		UCAH0034	R		
UCAC0013	E		32	48		UCAH0035	R		
UCAC0014	E		8	0		UCAH0036	R		
UCAC0014	E		8	8	2	UCAH0037	R		
UCAC0014	E		32	16		UCAH0038	R		
UCAC0014	E		32	48		UCAH0039	R		
UCAC0015	E		8	0		UCAH0040	R		
UCAC0016	E		8	0		UCAH0041	R		
UCAC0018	E		32	0		UCAH0042	R		
UCAC0018	E		32	32		UCAH0043	R		
UCAC0018	E		16	64		UCAH0044	R		
UCAC0019	E		32	0		UCAH0045	R		
UCAC0019	E		32	32		UCAH0046	R		
UCAC0019	E		16	64		UCAH0047	R		
UCAC0020	E		32	0		UCAH0048	R		
UCAC0021	E		32	0		UCAH0049	R		
UCAC0023	E		8	0	1	UCAH0052	R		
UCAC0023	E		32	8		UCAH0053	R		
UCAC0024	E		8	0	2	UCAH0054	R		
UCAC0024	E		32	8		UCAH0055	R		
