542600000	UCAMP0000000	68
542600001	UCAMP0000001	78
542600002	UCAMP0000002	68
542600003	UCAMP0000003	78
542600004	UCAMP0000004	68
542600005	UCAMP0000005	78
542600006	UCAMP0000006	385
542600007	UCAMP0000007	451
542600008	UCAMP0000008	171
542600009	UCAMP0000009	0
542600010	UCAMP0000010	0
542600011	UCAMP0000011	88
542600012	UCAMP0000012	81
542600013	UCAMP0000013	74
542600014	UCAMP0000014	74
542600015	UCAMP0000015	73
542600016	UCAMP0000016	73
542600017	UCAMP0000017	73
542600018	UCAMP0000018	73
542600019	UCAMP0000019	78
542600020	UCAMP0000020	76
542600021	UCAMP0000021	81
542600022	UCAMP0000022	79
542600023	UCAMP0000023	78
542600024	UCAMP0000024	77
542600025	UCAMP0000025	78
542600026	UCAMP0000026	80
542600027	UCAMP0000027	86
542600028	UCAMP0000028	74
542600029	UCAMP0000029	104
542600030	UCAMP0000030	80
542600031	UCAMP0000031	80
542600032	UCAMP0000032	100
542600033	UCAMP0000033	76
542600034	UCAMP0000034	76
542600035	UCAMP0000035	73
542600036	UCAMP0000036	0
542600037	UCAMP0000037	0
542600038	UCAMP0000038	0
542600039	UCAMP0000039	64
542600040	UCAMP0000040	0
542600041	UCAMP0000041	0
542600042	UCAMP0000042	83
542600043	UCAMP0000043	70
542600044	UCAMP0000044	66
542600045	UCAMP0000045	0
542600046	UCAMP0000046	0
542600047	UCAMP0000047	0
542600048	UCAMP0000048	66
542600049	UCAMP0000049	0
542600050	UCAMP0000050	0
542600051	UCAMP0000051	0
542600052	UCAMP0000052	68
542600053	UCAMP0000053	0
542600054	UCAMP0000054	0
542600055	UCAMP0000055	113
