1	1	-1	0	-1	0	512
1	2	-1	0	-1	0	512
1	3	-1	0	-1	0	512
1	4	-1	0	-1	0	512
1	7	-1	0	-1	0	512
1	8	-1	0	-1	0	512
3	25	0	16	-1	0	512
3	10	-1	0	-1	0	512
3	35	-1	0	-1	0	512
5	1	0	16	-1	0	512
5	2	0	16	-1	0	512
5	3	0	16	-1	0	512
5	4	0	16	-1	0	512
5	8	-1	0	-1	0	512
6	6	-1	0	-1	0	512
6	10	-1	0	-1	0	512
17	2	-1	0	-1	0	512
20	2	-1	0	-1	0	512
20	7	-1	0	-1	0	512
160	10	-1	0	-1	0	512
166	12	-1	0	-1	0	512
166	25	-1	0	-1	0	512
166	27	-1	0	-1	0	512
166	22	-1	0	-1	0	512
167	3	-1	0	-1	0	512
167	7	-1	0	-1	0	512
167	10	-1	0	-1	0	512
167	11	-1	0	-1	0	512
167	12	-1	0	-1	0	512
195	1	-1	0	-1	0	512
156	22	-1	0	-1	0	512
170	2	-1	0	-1	0	512
170	11	-1	0	-1	0	512
