UCAA000R	542600000	0	0				
UCAA001R	542600000	2	0				
UCAA000R	542600001	0	0				
UCAA001R	542600001	2	0				
UCAA002R	542600001	4	0				
UCAA003R	542600001	6	0				
UCAA004R	542600001	10	0				
UCAA000R	542600002	0	0				
UCAA001R	542600002	2	0				
UCAA000R	542600003	0	0				
UCAA001R	542600003	2	0				
UCAA002R	542600003	4	0				
UCAA003R	542600003	6	0				
UCAA004R	542600003	10	0				
UCAA000R	542600004	0	0				
UCAA001R	542600004	2	0				
UCAA000R	542600005	0	0				
UCAA001R	542600005	2	0				
UCAA002R	542600005	4	0				
UCAA003R	542600005	6	0				
UCAA004R	542600005	10	0				
UCAA005R	542600006	0	0				
UCAW000R	542600006	2	0				
UCAW004R	542600006	6	0				
UCAW005R	542600006	8	0				
UCAW006R	542600006	9	0				
UCAW007R	542600006	11	0				
UCAW01YR	542600006	12	0				
UCAW01ZR	542600006	14	0				
UCAW020R	542600006	16	0				
UCAW021R	542600006	18	0				
UCAWIZDR	542600006	20	0				
UCAWIZER	542600006	27	0				
UCAWIZFR	542600006	34	0				
UCAWIZGR	542600006	41	0				
UCAW022R	542600006	48	0				
UCAW023R	542600006	52	0				
UCAW024R	542600006	56	0				
UCAW025R	542600006	60	0				
UCAW026R	542600006	64	0				
UCAW027R	542600006	68	0				
UCAW028R	542600006	72	0				
UCAW029R	542600006	76	0				
UCAW02AR	542600006	80	0				
UCAW02BR	542600006	84	0				
UCAW02CR	542600006	88	0				
UCAW02DR	542600006	92	0				
UCAW02FR	542600006	96	0				
UCAW02GR	542600006	100	0				
UCAW02HR	542600006	104	0				
UCAW02IR	542600006	108	0				
UCAW02TR	542600006	112	0				
UCAW02UR	542600006	116	0				
UCAW02VR	542600006	120	0				
UCAW02WR	542600006	124	0				
UCAW02XR	542600006	128	0				
UCAW02YR	542600006	132	0				
UCAW02ZR	542600006	136	0				
UCAW030R	542600006	140	0				
UCAW031R	542600006	144	0				
UCAW032R	542600006	148	0				
UCAW033R	542600006	152	0				
UCAW034R	542600006	156	0				
UCAW035R	542600006	160	0				
UCAW036R	542600006	164	0				
UCAW037R	542600006	168	0				
UCAW038R	542600006	172	0				
UCAW039R	542600006	176	0				
UCAW03AR	542600006	180	0				
UCAW03BR	542600006	184	0				
UCAW03CR	542600006	188	0				
UCAW03DR	542600006	192	0				
UCAW03FR	542600006	193	0				
UCAW03GR	542600006	194	0				
UCAW03HR	542600006	195	0				
UCAW03IR	542600006	199	0				
UCAW03JR	542600006	200	0				
UCAW4CJR	542600006	204	0				
UCAW4CKR	542600006	206	0				
UCAW4CLR	542600006	208	0				
UCAW4CMR	542600006	210	0				
UCAW4CNR	542600006	212	0				
UCAW4COR	542600006	214	0				
UCAW4CPR	542600006	216	0				
UCAW4CQR	542600006	220	0				
UCAW4CRR	542600006	224	0				
UCAW4CSR	542600006	228	0				
UCAW4CTR	542600006	232	0				
UCAW4CUR	542600006	236	0				
UCAW4CXR	542600006	240	0				
UCAW4CYR	542600006	244	0				
UCAW4D0R	542600006	245	0				
UCAW4D2R	542600006	246	0				
UCAW4D3R	542600006	247	0				
UCAW4D4R	542600006	248	0				
UCAW4D5R	542600006	249	0				
UCAW4D6R	542600006	250	0				
UCAW4D7R	542600006	251	0				
UCAW4D8R	542600006	252	0				
UCAW4D9R	542600006	253	0				
UCAW4DAR	542600006	257	0				
UCAW4DBR	542600006	261	0				
UCAW4DCR	542600006	265	0				
UCAW4DDR	542600006	269	0				
UCAW4DER	542600006	273	0				
UCAW4DFR	542600006	277	0				
UCAW4DGR	542600006	281	0				
UCAW4DHR	542600006	285	0				
UCAW4DIR	542600006	289	0				
UCAW4DJR	542600006	293	0				
UCAW4DKR	542600006	297	0				
UCAW4DLR	542600006	301	0				
UCAW4DMR	542600006	302	0				
UCAW4DNR	542600006	306	0				
UCAW4DOR	542600006	310	0				
UCAW4F3R	542600006	311	0				
UCAW4F4R	542600006	312	0				
UCAW4F5R	542600006	313	0				
UCAW4F6R	542600006	314	0				
